Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.508333333,0.596404428,0.515385135,0.534710828
1000,10,1,32,0.395833333,0.482102128,0.398654864,0.413146572
1000,10,1,64,0.325,0.421936645,0.33042068,0.320690354
1000,10,3,16,0.6,0.716368299,0.604045142,0.641319382
1000,10,3,32,0.416666667,0.500952635,0.415820669,0.43006174
1000,10,3,64,0.2875,0.289688801,0.294929531,0.280441547
1000,10,5,16,0.566666667,0.632423234,0.578292293,0.594147387
1000,10,5,32,0.483333333,0.59578206,0.487279202,0.521916095
1000,10,5,64,0.379166667,0.471129157,0.383197559,0.406477057
1000,50,1,16,0.5125,0.630424437,0.517973807,0.555193791
1000,50,1,32,0.433333333,0.55343308,0.444707846,0.471619102
1000,50,1,64,0.358333333,0.412467358,0.365644719,0.364649824
1000,50,3,16,0.629166667,0.728399426,0.631033138,0.660987289
1000,50,3,32,0.4875,0.584265462,0.488582871,0.519393571
1000,50,3,64,0.295833333,0.372023023,0.304092694,0.27497887
1000,50,5,16,0.641666667,0.722194447,0.647136204,0.669972326
1000,50,5,32,0.454166667,0.560402994,0.460241281,0.483062271
1000,50,5,64,0.429166667,0.528053695,0.43381221,0.451806027
1000,100,1,16,0.545833333,0.65891408,0.551365883,0.587827279
1000,100,1,32,0.395833333,0.48400987,0.406945453,0.418374325
1000,100,1,64,0.308333333,0.36395477,0.31754446,0.30465473
1000,100,3,16,0.545833333,0.62233886,0.553010429,0.577459771
1000,100,3,32,0.429166667,0.532804668,0.434924087,0.465674584
1000,100,3,64,0.358333333,0.421840312,0.359313581,0.370959677
1000,100,5,16,0.579166667,0.714813221,0.584710182,0.629482354
1000,100,5,32,0.425,0.512753217,0.438985727,0.450692648
1000,100,5,64,0.391666667,0.473738041,0.399110574,0.414797116
2000,10,1,16,0.745833333,0.812811435,0.751883375,0.767891528
2000,10,1,32,0.645833333,0.716495769,0.654198476,0.675078818
2000,10,1,64,0.4875,0.58572615,0.49524913,0.522730657
2000,10,3,16,0.795833333,0.819461372,0.806258906,0.808473773
2000,10,3,32,0.7125,0.763389809,0.719343569,0.730512544
2000,10,3,64,0.583333333,0.654984385,0.59186211,0.612394211
2000,10,5,16,0.7875,0.817750036,0.796170626,0.801269614
2000,10,5,32,0.741666667,0.784462276,0.745210837,0.75688915
2000,10,5,64,0.633333333,0.703027505,0.640984687,0.662020496
2000,50,1,16,0.754166667,0.787837189,0.763636517,0.770163692
2000,50,1,32,0.658333333,0.728285358,0.663482897,0.681437679
2000,50,1,64,0.4875,0.579614045,0.495285951,0.520668536
2000,50,3,16,0.783333333,0.828506554,0.794075341,0.801359143
2000,50,3,32,0.6625,0.710341381,0.674760331,0.687288642
2000,50,3,64,0.6125,0.736597952,0.616671526,0.652287482
2000,50,5,16,0.833333333,0.848381589,0.842944616,0.842051871
2000,50,5,32,0.745833333,0.781706962,0.757592481,0.762194551
2000,50,5,64,0.675,0.765438844,0.679059304,0.706469546
2000,100,1,16,0.729166667,0.753996016,0.746807433,0.734274434
2000,100,1,32,0.633333333,0.73083966,0.639087032,0.671345564
2000,100,1,64,0.541666667,0.642563435,0.549532064,0.570328267
2000,100,3,16,0.779166667,0.797247061,0.786496136,0.78974615
2000,100,3,32,0.695833333,0.741170783,0.707119511,0.716764414
2000,100,3,64,0.6125,0.717867919,0.619183394,0.649168252
2000,100,5,16,0.829166667,0.847296539,0.83946962,0.838618103
2000,100,5,32,0.741666667,0.785983259,0.748612978,0.760521843
2000,100,5,64,0.670833333,0.744431739,0.679568933,0.698674365
3000,10,1,16,0.804166667,0.833684143,0.808139863,0.814662475
3000,10,1,32,0.745833333,0.784717673,0.753237815,0.761133193
3000,10,1,64,0.6,0.68028412,0.608526209,0.628365063
3000,10,3,16,0.825,0.836736791,0.830457416,0.828017736
3000,10,3,32,0.8125,0.839007827,0.821916991,0.826302968
3000,10,3,64,0.666666667,0.719482325,0.674526231,0.689436212
3000,10,5,16,0.854166667,0.88131552,0.865502015,0.861975183
3000,10,5,32,0.791666667,0.818458344,0.799586631,0.804541522
3000,10,5,64,0.670833333,0.714215789,0.679995664,0.689261304
3000,50,1,16,0.804166667,0.847601623,0.811596721,0.822847627
3000,50,1,32,0.745833333,0.800632873,0.754992796,0.770891271
3000,50,1,64,0.608333333,0.681368128,0.613728244,0.630265056
3000,50,3,16,0.929166667,0.937630823,0.936546207,0.933863564
3000,50,3,32,0.754166667,0.789467897,0.762412903,0.771512254
3000,50,3,64,0.7,0.765991674,0.708304572,0.724334108
3000,50,5,16,0.870833333,0.8833659,0.877267266,0.876673425
3000,50,5,32,0.729166667,0.757215325,0.738524546,0.741950311
3000,50,5,64,0.708333333,0.762068352,0.716200888,0.730611488
3000,100,1,16,0.8375,0.84561978,0.849744585,0.843101335
3000,100,1,32,0.6625,0.712294101,0.6738091,0.685362168
3000,100,1,64,0.641666667,0.705509135,0.645956884,0.663203463
3000,100,3,16,0.8625,0.881012231,0.870953642,0.871523428
3000,100,3,32,0.708333333,0.760243083,0.714059215,0.726539049
3000,100,3,64,0.679166667,0.730611207,0.690891832,0.704658653
3000,100,5,16,0.891666667,0.897924397,0.8941121,0.895078419
3000,100,5,32,0.875,0.904134697,0.876955942,0.884408942
3000,100,5,64,0.716666667,0.765820112,0.723451544,0.737467296